X,Y,fid,X,Y,Nev,icon_url,MELY_Injektálási mélység [m],MELY_Injektálás tervezett dátuma
19.0729948839248,47.6424822828557,"62","651920","255404",DP62,./0.png,11.9,2022/11/22
19.0730481363913,47.6425182492063,"63","651924","255408",DP63,./0.png,12,2022/11/22
19.0731013722282,47.642518237931,"64","651928","255408",DP64,./0.png,12,2022/11/22
19.0731546248034,47.6425542042321,"65","651932","255412",DP65,./0.png,12,2022/11/22
19.073154608065,47.6425182266311,"66","651932","255408",DP66,./0.png,11.8,2022/11/22
19.0732078439017,47.6425182153067,"67","651936","255408",DP67,./0.png,11.8,2022/11/23
19.0732610797385,47.6425182039578,"68","651940","255408",DP68,./0.png,12.2,2022/11/23
19.0733143155752,47.6425181925845,"69","651944","255408",DP69,./0.png,12.2,2022/11/23
19.073367551412,47.6425181811866,"70","651948","255408",DP70,./0.png,12,2022/11/23
19.0733143324225,47.6425541701854,"71","651944","255412",DP71,./0.png,12.2,2022/11/23
19.073314298728,47.6424822149831,"72","651944","255404",DP72,./0.png,12,2022/11/23
19.0732610629275,47.6424822263565,"73","651940","255404",DP73,./0.png,11.8,2022/11/24
19.0731013388238,47.6424462827277,"74","651928","255400",DP74,./0.png,11.9,2022/11/24
19.0731545745881,47.6424462714279,"75","651932","255400",DP75,./0.png,11.8,2022/11/24
19.0730480863936,47.6424103164008,"76","651924","255396",DP76,./0.png,11.9,2022/11/24
19.0731013221217,47.6424103051255,"77","651928","255396",DP77,./0.png,11.8,2022/11/24
19.0731545578497,47.6424102938256,"78","651932","255396",DP78,./0.png,11.8,2022/11/24
19.0732077935777,47.6424102825013,"79","651936","255396",DP79,./0.png,11.8,2022/11/25
19.0732610293057,47.6424102711524,"80","651940","255396",DP80,./0.png,12.3,2022/11/25
19.0733142650336,47.6424102597791,"81","651944","255396",DP81,./0.png,12.3,2022/11/25
19.0733675007615,47.6424102483812,"82","651948","255396",DP82,./0.png,12.3,2022/11/25
19.0734207364894,47.6424102369589,"83","651952","255396",DP83,./0.png,12,2022/11/25
19.0734739722173,47.642410225512,"84","651956","255396",DP84,./0.png,12,2022/11/25
19.0735272079452,47.6424102140406,"85","651960","255396",DP85,./0.png,12,2022/11/26
19.0734207534092,47.6424462145611,"86","651952","255400",DP86,./0.png,12,2022/11/26
19.0734739891733,47.6424462031142,"87","651956","255400",DP87,./0.png,12,2022/11/26
19.0732609116298,47.642158427925,"88","651960","255400",DP88,./0.png,12,2022/11/26
19.073367517645,47.6424462259834,"89","651948","255400",DP89,./0.png,12,2022/11/26
19.0733142818808,47.6424462373813,"90","651944","255400",DP90,./0.png,12,2022/11/26
19.0732610461166,47.6424462487547,"91","651940","255400",DP91,./0.png,11.8,2022/11/28
19.073101355526,47.6424822603296,"92","651928","255404",DP92,./0.png,11.9,2022/11/28
19.0729948506655,47.6424103276516,"93","651920","255396",DP93,./0.png,11.9,2022/11/28
19.0729416149374,47.642410338878,"94","651916","255396",DP94,./0.png,12,2022/11/28
19.0729416315308,47.6424463164802,"95","651916","255400",DP95,./0.png,11.9,2022/11/28
19.0728883626523,47.6423743724771,"96","651912","255392",DP96,./0.png,12,2022/11/28
19.0728351269604,47.6423743836544,"97","651908","255392",DP97,./0.png,12,2022/11/29
19.0727818912685,47.6423743948072,"98","651904","255392",DP98,./0.png,11.8,2022/11/29
19.0723563458208,47.6431300127168,"99","651872","255476",DP99,./0.png,12.5,2022/11/29
19.0729415983441,47.6423743612753,"100","651916","255392",DP100,./0.png,11.9,2022/11/29
19.0729948340359,47.642374350049,"101","651920","255392",DP101,./0.png,11.9,2022/11/29
19.0730480697277,47.6423743387981,"102","651924","255392",DP102,./0.png,11.9,2022/11/29
19.0730480530619,47.642338361195,"103","651924","255388",DP103,./0.png,11.9,2022/11/30
19.0730480197303,47.6422664059875,"104","651924","255380",DP104,./0.png,12.2,2022/11/30
19.0731012720154,47.6423023723162,"105","651928","255384",DP105,./0.png,11.8,2022/11/30
19.0731544908963,47.6422663834124,"106","651932","255380",DP106,./0.png,12.2,2022/11/30
19.0732077097047,47.6422303944838,"107","651936","255376",DP107,./0.png,12,2022/11/30
