X,Y,fid,ID,JEL,X_COORD,Y_COORD,szűrőzés,icon_url
19.0721530751669,47.6466051920885,"1","0",CMT-A1,651856.61043,255862.36707,"/1: 8,5-9,0 /2: 10,0-10,5 /3:11,5-12,5",./0.png
19.0732445378556,47.6463044346081,"2","0",CMT-A2,651938.62425,255828.95403,"/1: 7,8-8,5 /2: 10,7-11,4 /3: 12,2-12,7",./0.png
19.0742230567214,47.646561038239,"3","0",CMT-A3,652012.13293,255857.50699,"/1: 8,0-8,5 /2: 9,3-9,8 /3:11,0-12,0",./0.png
19.0742956599277,47.6462113146188,"4","0",CMT-A5,652017.60052,255818.62637,"/1: 8,2-8,7 /2: 9,5-10,0 /3: 11,4-12,4",./0.png
19.0738023372557,47.6460365694877,"5","0",CMT-A4,651980.54242,255799.18606,"/1: 7,0-7,5 /2: 9,0-9,5 /3: 11,0-11,6",./0.png
19.0730442137369,47.6426651227147,"6","0",CMT-B3,651923.70015,255424.32935,"/1: 6,5-7,0 /2: 11,5-12,0 /3: 12,6-13,1",./0.png
19.0722480128398,47.6431401947226,"7","0",CMT-B1,651863.8599,255477.12957,"/1: 6,8-7,3 /2: 10,0-10,5 /3: 12,0-13,0",./0.png
19.072633565906,47.643042698501,"8","0",CMT-B2,651892.83233,255466.29875,"/1: 7,5-8,0 /2: 9,8-10,3 /3: ",./0.png
