X,Y,fid,name,depth,screen_start,screen_stop,icon_url
19.0731068085767,47.6427610856005,"1",MIW-L47,14,13,14,./0.png
19.0735085465753,47.6423490561337,"2",MIW-L51,13.4,12,13.4,./0.png
19.0723038299601,47.6462160003642,"3",MIW-E10,12,10.5,12,./0.png
19.0758018505358,47.6465669105999,"4",MIW-E19,16,14.6,16,./0.png
19.0731670785552,47.6464352831898,"5",MIW-E11,12.5,11,12.5,./0.png
19.0737970585676,47.6473138992977,"6",MIW-E08,12,11,12,./0.png
