X,Y,STATION_ID,STATION_NE,ALIAS_1,X,Y,TEREP__MBF,PEREM__MBF,KUT_TALP__,FURAS_MELY,STN_TIPUS,STATUS,AZONOSIT,MEGJEGYZéS,PCE,TCE,DCE,VC,öSSZES_VOC,icon_url,SZŰR_szuro_ID,SZŰR_szuro_teteje,SZŰR_szuro_alja,SZŰR_szuro_anyaga,SZŰR_szuro_atm,SZŰR_szuro_lyuk_atm,SZŰR_megjegyzes
19.0730352023871,47.6444779514441,"50",A32,,651922.96,255625.88,105.0680,105.9700,13.50,,,,,,22.00,0.13,73.79,"0",95.92,./0.png,50,,,,"220",,
19.0754598478237,47.6448615639451,"51",A33,,652105.12,255668.59,105.3084,105.7600,15.00,15.00,,,,,9.51,0.17,7.87,"64.2",17.55,./0.png,51,,,,"220",,
19.0745581568927,47.6449249106427,"52",A34,,652037.37,255675.61,105.0151,105.8900,13.70,,,,,,9.95,0.12,17.20,"27.3",27.27,./0.png,52,,,,"220",,
19.0717542014137,47.645162148965,"53",A35,,651826.69,255701.92,105.2783,105.5900,13.20,13.20,,,,,0.03,0.16,132.27,"0",132.46,./0.png,53,,,,"220",,
19.0735867492502,47.6453278037557,"54",A36,,651964.37,255720.38,105.2464,106.1900,12.80,,,,,,0.86,0.73,11.60,"0.42",13.19,./0.png,54,,,,"220",,
19.0723611119694,47.6454390530691,"55",A37,,651872.28,255732.72,105.1426,105.2900,13.50,13.50,,,,,0.06,0.35,226.63,"27.8",227.04,./0.png,55,,,,"220",,
19.0729077547518,47.645757430803,"56",A38,,651913.34,255768.13,105.1671,106.1300,13.60,13.60,,,,,0.04,0.35,366.60,"4.46",366.99,./0.png,56,,,,"220",,
19.0709200343323,47.6456667186358,"57",A39,,651764.00,255758.00,104.9700,105.8700,14.00,,,,,,0.04,0.05,0.48,"52.6",0.57,./0.png,57,,,,"220",,
19.0758522066304,47.6456217681545,"59",A41,,652134.57,255753.12,105.3142,105.7700,15.00,15.00,,,,,16.10,0.73,23.34,"0",40.17,./0.png,59,,,,"220",,
19.0750607137975,47.6456966954797,"60",A42,,652075.10,255761.43,105.3311,106.4900,15.30,15.30,,,,,13.90,0.49,5.06,"0",19.45,./0.png,60,,,,"220",,
19.0745002966244,47.6463550319618,"61",A43,,652032.97,255834.61,105.1273,105.9700,14.10,14.10,,,,,1600.00,39.90,16.20,"0",1656.10,./0.png,61,,,,"220",,
19.0757477905064,47.6465250994001,"62",A44,,652126.69,255853.55,105.2459,105.9200,14.80,14.80,,,,,837.00,15.50,18.30,"0",870.80,./0.png,62,,,,"220",,
19.0747477139485,47.6468636089584,"65",A47,,652051.54,255891.16,105.1951,105.3200,15.20,15.20,,,,,3.06,1.91,52.80,"0.88",57.77,./0.png,65,,,,"220",,
